EVENT_DATE_KEY,TSN,SEARCH_TEXT,UI_VALUE_DESC_01,UI_VALUE_DESC_02,UI_VALUE_DESC_03,UI_VALUE_DESC_04,SEARCH_CONTEXT,MATCH,,
20150815,84803019068954D,show,show,me,a,hero,FALSE,1,1,
20150815,BA72B153D39FE6BE5E03766D37BB4E9F,gu,guy's,grocery,games,NA,FALSE,1,1,
20150815,D180AD60009976A,n,nfl,football,NA,NA,FALSE,1,1,
20150815,D180AD60009976A,dall,dallas,NA,NA,NA,FALSE,1,1,
20150815,57B59B3B3141F647B1877B4BBD6D9635,so,sons,of,anarchy,NA,FALSE,1,1,
20150815,758200190383FAF,la st,l.a.,story,NA,NA,FALSE,#N/A,#N/A,
20150815,758200190383FAF,la st,l.a.,story,NA,NA,FALSE,#N/A,#N/A,
20150815,758200190383FAF,bre,the,breakfast,club,NA,FALSE,2,1,
20150815,758200190383FAF,bre,the,breakfast,club,NA,FALSE,2,1,
20150815,758200190383FAF,war of the ros,the,war,of,the,FALSE,#N/A,#N/A,
20150815,758200190383FAF,war of the ros,the,war,of,the,FALSE,#N/A,#N/A,
20150815,758200190383FAF,kra,kramer,vs.,kramer,NA,FALSE,1,1,
20150815,758200190383FAF,kra,kramer,vs.,kramer,NA,FALSE,1,1,
20150815,8DA585AED951C0496212AF768AE48207,kea,keanu,reeves,NA,NA,FALSE,1,1,
20150815,8DA585AED951C0496212AF768AE48207,kea,keanu,reeves,NA,NA,FALSE,1,1,
20150815,8DA585AED951C0496212AF768AE48207,kea,keanu,reeves,NA,NA,FALSE,1,1,
20150815,7500001905C0F6F,jun,the,jungle,book,NA,FALSE,2,1,
20150815,7500001905C0F6F,jun,the,jungle,book,NA,FALSE,2,1,
20150815,7500001905C0F6F,jun,the,jungle,book,NA,FALSE,2,1,
20150815,A9200019029659A,nf,nfl,preseason,football,NA,FALSE,1,1,
20150815,C67E45FCAD3DA28FA19C46346751729B,ted,ted,NA,NA,NA,FALSE,1,1,
